latitude,longitude,taken_date,t2m,d2m,tp
53.5,53.5,2017-08-13,289.685,282.058,10.2569
53.5,54.25,2017-08-12,290.31,284.404,0.115486
53.5,55.25,2017-08-10,286.685,276.431,0.00824738
54.75,50,2017-08-11,291.359,283.982,0
53.5,49.75,2017-08-11,293.405,283.86,0
55.5,55.75,2017-08-11,289.096,284.46,0
54.5,53.75,2017-08-11,291.216,283.784,0
57,49.75,2017-08-07,289.99,286.741,0.867805
53.25,54.25,2017-08-10,287.458,277.035,0.00989914
53.5,50.75,2017-08-13,291.692,284.88,1.22252
54.25,54.5,2017-08-11,289.507,283.599,0
56.25,49.25,2017-08-08,290.416,285.462,0.108887
53.25,55.25,2017-08-12,289.339,286.919,0.0313454
53.25,55.5,2017-08-07,291.298,285.25,0
53.25,56,2017-08-08,293.543,289.297,0
54,50.25,2017-08-12,291.391,285.28,0.412453
55,49.75,2017-08-11,292.106,284.34,0.0742416
55,54.25,2017-08-12,289.309,285.345,1.46009
55,53.5,2017-08-13,288.747,281.198,1.98143
55,55.25,2017-08-10,284.944,279.247,0.0131989
56.75,52.25,2017-08-11,290.11,285.059,0.0445442
56.5,48.25,2017-08-13,287.935,283.591,0.584034
53,51.25,2017-08-08,294.549,288.851,0
57,49,2017-08-10,286.85,284.728,1.8049
57,51.25,2017-08-08,289.513,286.448,0.224377
54.25,50.25,2017-08-09,291.314,284.015,0.115486
53.75,55.5,2017-08-08,291.543,288.593,0
53,49,2017-08-10,290.322,283.247,0
53.75,56,2017-08-07,290.255,286.608,0.0313454
54.5,55.75,2017-08-11,289.41,283.564,0
55.25,50.25,2017-08-13,289.472,283.748,0.658276
54.75,49,2017-08-11,292.308,286.432,0.046196
55,55,2017-08-13,287.428,280.348,5.18703
54.25,53.5,2017-08-12,290.205,284.521,1.56238
56.5,53,2017-08-08,290.025,284.723,0.353062
53,49.5,2017-08-07,294.827,288.609,0.0313454
53,50.5,2017-08-12,293.081,285.963,0
53,48,2017-08-07,293.629,286.917,0.0131989
53.75,55.25,2017-08-09,290.38,282.138,0.580734
54,55,2017-08-09,290.751,282.141,1.09548
54.25,54.25,2017-08-13,287.563,280.963,2.31635
55.25,54.25,2017-08-09,289.656,282.807,2.36089
55.75,52.5,2017-08-13,288.326,282.512,0.542789
56.75,52,2017-08-11,289.857,285.334,0.239223
56.25,52.75,2017-08-10,289.312,282.386,0.00329971
56.25,53.25,2017-08-09,287.424,281.714,0.113838
56.5,55.75,2017-08-13,286.829,280.645,4.0767
56.75,54.25,2017-08-08,289.972,285.518,0.0131989
56,52.5,2017-08-08,290.558,285.89,0.0791893
56.25,47,2017-08-09,289.83,286.627,0.0478439
56.25,51.25,2017-08-13,287.101,281.702,1.12023
56.5,47,2017-08-10,289.132,285.234,0.395958
56.5,52.75,2017-08-09,288.673,280.917,0.113838
56.5,53.25,2017-08-10,288.447,282.327,0.133636
56.75,47.25,2017-08-11,290.726,288.416,0.239223
56.75,56,2017-08-10,283.417,278.437,0.752316
57,54,2017-08-12,289.291,285.059,1.8313
53.5,49.5,2017-08-11,293.943,284.952,0
53,54,2017-08-12,290.651,286.941,0.0346451
53.5,48,2017-08-11,291.915,284.225,0.0164986
55.5,55.25,2017-08-12,289.013,286.493,1.69271
54.5,47.75,2017-08-09,289.834,284.486,3.68404
54,53.5,2017-08-09,289.728,283.298,1.18622
54.25,55,2017-08-12,290.266,284.533,0.186428
54.5,48.25,2017-08-11,292.557,284.385,0
54.75,47.75,2017-08-08,290.386,288.25,0
55.5,54.25,2017-08-10,285.466,280.352,0.082489
55.5,55.5,2017-08-07,289.604,287.644,0.841408
55.5,56,2017-08-08,289.328,286.817,0.405857
53,49.25,2017-08-13,292.721,285.231,0.422352
57,48,2017-08-07,290.364,286.584,0.816662
55.75,47.75,2017-08-12,290.897,285.11,0.186428
56,54.75,2017-08-09,287.276,281.277,1.03773
56.5,53.75,2017-08-13,286.926,281.044,1.94844
57,49.5,2017-08-07,290.186,286.31,0.834808
57,50.5,2017-08-12,288.193,284.745,1.07898
53.25,55.75,2017-08-11,288.604,283.239,0
54,50.75,2017-08-09,291.397,283.602,0.107239
53.75,47.75,2017-08-12,291.937,283.874,0.227676
55,49.5,2017-08-11,292.074,284.929,0.0643425
54,52.5,2017-08-10,288.506,281.723,0.00329971
56.25,54.5,2017-08-09,287.142,281.413,0.43885
55,48,2017-08-11,291.032,285.407,0.00164795
55.25,47.75,2017-08-10,288.453,284.752,0.120438
57,52,2017-08-09,287.855,281.575,0.0296974
57,47.25,2017-08-09,288.297,285.335,0.247471
56.5,54.5,2017-08-10,285.132,280.508,0.209526
53,47.25,2017-08-09,292.208,282.213,0.780365
53,52,2017-08-09,293.658,282.898,0.801811
53.25,53.75,2017-08-11,290.931,282.759,0
54.25,50.75,2017-08-12,290.546,284.965,0.0181465
53.75,52.5,2017-08-13,289.534,282.526,2.65126
54.5,56,2017-08-08,291.743,288.574,0.0659943
54.5,54.25,2017-08-10,284.919,278.975,0.0511436
54.5,55.25,2017-08-12,289.484,285.462,0.864506
54.5,55.5,2017-08-07,290.939,285.202,0.0841408
54.75,51.5,2017-08-13,287.597,282.335,0.428951
55.5,48.25,2017-08-11,292.198,285.573,0.0445442
54.75,56,2017-08-09,289.075,283.123,1.11363
55.75,55.25,2017-08-09,287.664,281.601,2.7552
55.5,47.75,2017-08-09,289.659,285.118,0.34481
55.5,48,2017-08-10,288.58,284.395,0.196327
57,49.25,2017-08-13,287.014,281.995,0.666527
53.5,52,2017-08-08,292.369,288.459,0
53.75,47.5,2017-08-07,291.216,285.449,0
53.75,53.75,2017-08-09,290.455,282.855,0.617031
54,53.25,2017-08-09,290.13,283.388,1.29346
54.75,50,2017-08-12,290.908,285.183,0.65498
55.5,51.75,2017-08-08,290.053,287.967,0.0164986
56,51.5,2017-08-12,289.952,284.668,1.88904
56.25,50.25,2017-08-11,290.636,285.498,0.364609
56.5,48.5,2017-08-08,289.871,285.915,0.0478439
53.25,49,2017-08-07,294.623,290.31,0.0841408
53.25,51,2017-08-08,293.448,287.968,0
53.5,47.25,2017-08-08,290.199,286.983,0
53.5,49.75,2017-08-12,292.191,285.761,0.00329971
53.5,54.25,2017-08-11,289.996,282.747,0
54,47,2017-08-09,290.231,284.024,3.29799
54,51.25,2017-08-13,288.917,283.871,1.00144
54,52.75,2017-08-10,288.364,281.482,0.00329971
55.5,49.5,2017-08-10,289.382,284.676,0.244171
56.25,55,2017-08-09,286.696,279.649,0.63353
55.5,55.75,2017-08-12,288.486,286.628,1.8313
55.75,50,2017-08-08,290.095,285.109,0
56,50,2017-08-13,288.131,282.517,0.410805
57,55.5,2017-08-10,283.374,279.506,0.242523
56.5,55,2017-08-10,283.749,279.336,0.193027
57,54.25,2017-08-07,290.283,288.253,0.311817
53,54.25,2017-08-07,291.384,285.557,0
53,55.5,2017-08-10,286.994,276.65,1.59702
53.25,48.25,2017-08-12,292.533,284.067,0.729221
53.75,51,2017-08-07,291.795,286.533,0
53.75,49,2017-08-08,291.544,287.647,0
53.75,55.75,2017-08-09,289.527,282.879,0.836456
53.25,47.5,2017-08-08,290.684,285.736,0
53.75,52.75,2017-08-13,289.796,282.301,4.27963
53.75,51.25,2017-08-10,289.247,282.062,0
54.25,47,2017-08-12,289.989,284.725,0.559288
54.25,48,2017-08-13,290.709,285.428,1.7785
54.25,53.25,2017-08-12,290.31,284.518,0.628582
54.25,49.5,2017-08-13,289.172,285.088,2.87893
55.25,51.25,2017-08-12,290.592,285.112,0.164982
55.25,48,2017-08-09,290.244,284.928,3.47122
54.75,55.5,2017-08-11,289.999,283.409,0
55,48.25,2017-08-10,288.339,283.89,0.0527954
55.25,49.5,2017-08-09,292.019,287.149,2.42028
56.5,53.5,2017-08-10,287.431,281.926,0.216125
56.25,53.5,2017-08-09,287.362,281.32,0.174881
55.5,53.75,2017-08-12,289.51,285.819,1.51123
56,48.5,2017-08-09,289.491,285.458,0.0412445
56.5,55.25,2017-08-13,286.655,280.48,4.59639
56.75,48,2017-08-08,289.245,285.699,0.0329971
56.75,49.5,2017-08-08,289.702,285.571,0.420704
56.75,51.75,2017-08-10,287.423,284.185,0.0197983
53.5,48.25,2017-08-10,289.19,281.179,0.0197983
53.25,50,2017-08-07,294.129,290.262,0.00164795
54.5,51.75,2017-08-08,290.025,286.511,0
54,54.5,2017-08-09,289.823,282.146,1.21757
54.5,48,2017-08-10,288.671,283.009,0.102287
54.5,49.5,2017-08-10,289.81,283.289,0.0313454
54.75,49,2017-08-12,291.923,286.342,0.419052
54.5,55.75,2017-08-12,288.717,286.86,0.890903
54.75,51.75,2017-08-09,290.195,284.019,2.33449
55.25,52,2017-08-07,290.966,286.149,0.046196
55.25,47.25,2017-08-07,292.518,288.086,0.117138
55.75,49,2017-08-08,291.549,286.921,0.00164795
55.75,55.75,2017-08-09,286.85,280.618,2.57701
55.75,52.75,2017-08-13,288.712,282.356,0.669827
55.75,51,2017-08-07,291.93,286.502,0.0115471
55.75,51.25,2017-08-10,289.393,283.691,0.103939
56,52.75,2017-08-08,290.936,286.474,0.0445442
56.25,52.5,2017-08-10,289.157,282.649,0.00659943
56,49,2017-08-13,288.403,282.485,0.602184
56.5,52.5,2017-08-09,288.844,280.864,0.0890884
56.5,50.75,2017-08-10,287.583,284.721,0.386059
56.25,50.75,2017-08-09,289.287,284.574,0.107239
53.25,55.25,2017-08-11,289.159,283.354,0
53.25,49.75,2017-08-10,289.777,284.059,0
53.75,50,2017-08-08,290.417,285.831,0
54,50.25,2017-08-11,293.284,283.276,0
54.25,49.25,2017-08-07,293.234,287.5,0.00164795
54.25,54.5,2017-08-12,289.867,284.286,1.06248
55,52,2017-08-08,289.728,287.692,0
54.5,53.75,2017-08-12,290.255,284.61,0.742416
54.75,48.25,2017-08-07,293.047,286.058,0
55,49.75,2017-08-12,291.916,285.405,0.503193
55,54.25,2017-08-11,290.875,283.323,0
55,47.25,2017-08-08,290.359,286.117,0.023098
53.5,47,2017-08-13,288.98,283.311,0.625282
55.75,47.5,2017-08-07,292.056,288.264,0.249123
55.75,53.75,2017-08-09,290.069,283.854,1.02619
56.5,54.75,2017-08-08,289.647,285.67,0.046196
53,54,2017-08-11,290.825,282.983,0
53.5,51.25,2017-08-09,292.911,283.265,0.0742416
56.75,52.25,2017-08-12,288.991,284.291,0.848007
53.5,49.5,2017-08-12,292.71,286.232,0.0346451
53.5,50.5,2017-08-07,294.223,285.962,0
53.5,53.25,2017-08-13,289.851,282.092,9.83292
53.5,55.75,2017-08-10,286.578,277.745,0.146835
53.5,48,2017-08-12,291.486,283.86,0.447102
54.75,47.5,2017-08-09,289.735,284.813,2.59681
54,48.75,2017-08-10,291.421,284.411,0.250771
54.25,55,2017-08-11,290.127,283.517,0
54.5,47.5,2017-08-08,290.094,289.014,0
54.5,48.25,2017-08-12,291.977,285.259,0.663227
55.5,49.75,2017-08-10,289.575,284.516,0.224377
55.25,52.25,2017-08-07,290.692,286.131,0.023098
54.75,53.75,2017-08-07,291.608,285.369,0.0181465
54.75,54,2017-08-10,284.986,279.362,0.00824738
53.5,53.75,2017-08-10,286.748,277.582,0.00494766
55.75,48.25,2017-08-09,289.969,285.411,0.0610428
53,50.5,2017-08-11,291.828,283.059,0
55.5,55.25,2017-08-11,289.862,284.626,0
55.75,47.75,2017-08-11,292.128,286.009,0.100639
57,50.5,2017-08-11,289.501,286.734,1.404
53.5,54,2017-08-07,292.629,285.718,0
53.75,48.75,2017-08-13,291.472,285.817,1.53268
54,49.25,2017-08-08,291.927,288.513,0
54.25,49.75,2017-08-13,288.942,284.911,2.53247
54.25,53.5,2017-08-11,290.756,284.315,0
54.75,51,2017-08-09,290.472,284.652,3.76159
54.5,51,2017-08-08,290.647,287.904,0
54.75,50.5,2017-08-10,288.645,283.502,0.00824738
54.5,49,2017-08-07,295.981,288.037,0
55,52.25,2017-08-08,289.662,286.784,0
54.75,55.75,2017-08-07,290.403,285.309,0.0923882
55.25,49.75,2017-08-09,292.12,287.144,3.1396
55,54.5,2017-08-13,287.173,280.221,3.54051
55.5,50,2017-08-07,293.783,288.202,0.00989914
55.75,51.75,2017-08-07,292.604,286.389,0.0247459
56,53,2017-08-09,289.196,282.361,0.663227
56.75,47.25,2017-08-12,289.795,285.405,0.283768
57,54,2017-08-11,290.266,285.195,0
56.75,49.75,2017-08-08,289.877,285.702,0.329964
56.75,52,2017-08-12,288.958,284.349,0.683025
53.25,53.75,2017-08-12,290.54,285.63,0.0197983
53.5,52.25,2017-08-08,292.543,288.66,0
53.75,51.75,2017-08-07,291.826,286.228,0.00494766
53.5,54.5,2017-08-13,288.468,282.916,10.3163
54.25,50.75,2017-08-11,291.659,283.392,0
55.5,47.5,2017-08-08,291.291,285.844,0.00329971
54.5,49.75,2017-08-10,289.887,283.137,0.0263977
54.5,55.25,2017-08-11,290.164,283.264,0
55,53.75,2017-08-10,285.399,280.484,0.120438
55,54,2017-08-07,290.786,284.762,0.117138
55.25,50.5,2017-08-08,290.967,287.099,0
55.5,48.25,2017-08-12,290.721,284.781,0.0181465
56,48.75,2017-08-08,290.777,285.655,0.127037
55.75,48.75,2017-08-13,288.992,285.369,0.249123
56,51.5,2017-08-11,290.452,283.171,0.145184
56.5,51.5,2017-08-07,290.95,286.953,1.15817
56.25,50.25,2017-08-12,289.184,284.849,1.23571
56.75,50.5,2017-08-09,288.982,284.18,0.0131989
56.75,51,2017-08-10,287.301,284.782,0.503193
56.75,51.25,2017-08-07,290.092,287.491,1.08063
53.25,51.75,2017-08-08,293.428,289.057,0
53.25,48,2017-08-10,289.837,280.804,0
53.25,49.5,2017-08-10,289.941,284.253,0
53.75,47.75,2017-08-11,291.917,284.827,0.0296974
53.25,55.75,2017-08-12,288.841,287.489,0
53.75,48.25,2017-08-09,291.054,283.381,1.36275
54.5,50,2017-08-07,292.889,286.232,0
55,48,2017-08-12,290.673,284.615,0.514744
55,51.25,2017-08-09,290.198,284.642,6.46069
55,47,2017-08-13,288.325,285.372,0.488346
55,49.5,2017-08-12,292.04,285.799,0.290367
55,50.5,2017-08-07,291.666,286.641,0
55,53.25,2017-08-13,288.506,281.486,1.73891
55.25,54,2017-08-08,289.277,285.777,0.0758934
55,55.75,2017-08-10,284.949,280.233,0.046196
55.5,51,2017-08-08,290.244,287.127,0
55.5,49,2017-08-07,292.612,287.677,0.0197983
53,55.25,2017-08-07,291.277,285.259,0
56,49.25,2017-08-10,287.58,284.348,0.481747
56.75,47.5,2017-08-10,287.658,285.134,0.951946
56.75,54,2017-08-09,287.147,280.818,0.612083
53,55.5,2017-08-12,289.203,287.6,0
53.5,50,2017-08-07,294.94,285.564,0
53.25,48.25,2017-08-10,289.36,281.5,0
53.75,48,2017-08-09,291.143,283.425,1.05259
53.75,49.5,2017-08-09,292.28,284.45,0.0544434
54.25,55.75,2017-08-13,287.367,281.277,6.31221
53.75,51.25,2017-08-12,291.327,285.139,0.00494766
54.25,52.75,2017-08-09,289.363,283.538,1.19942
54.25,53.25,2017-08-10,286.806,280.754,0.0527954
54.25,47,2017-08-10,288.102,284.203,0.0280457
55.25,49,2017-08-08,291.437,286.4,0
55,47.5,2017-08-08,290.601,286.222,0.0115471
55,48.25,2017-08-12,290.451,284.702,0.473499
54.75,49.75,2017-08-07,291.256,287.537,0.00659943
55.25,51,2017-08-07,292.021,285.965,0.023098
55.25,51.25,2017-08-10,289.755,283.83,0.125385
55.25,52.75,2017-08-13,287.972,281.517,0.935448
55.25,55.75,2017-08-09,288.305,282.28,1.61022
55.75,47.25,2017-08-07,291.852,288.54,0.183128
55.5,53.75,2017-08-10,286.831,281.161,0.125385
55.5,54,2017-08-07,289.952,285.994,0.486698
55.75,52,2017-08-07,292.396,286.372,0.0940399
56.25,51.5,2017-08-08,289.937,285.424,0.143536
56.25,48.75,2017-08-11,290.278,287.209,0.179829
57,50,2017-08-11,290.079,287.268,2.24705
56.5,53.5,2017-08-12,289.619,284.49,1.80325
56.5,54.25,2017-08-13,286.204,281.073,2.252
56.75,51.75,2017-08-12,288.911,284.389,0.735821
56.75,49,2017-08-09,288.179,285.236,0.0494957
56.75,55.75,2017-08-08,289.141,285.665,0.0791893
53,50,2017-08-11,291.91,283.7,0
54.25,53.75,2017-08-13,287.915,281.945,3.34088
53.5,49.75,2017-08-10,288.587,284.103,0.00164795
54,52.75,2017-08-12,290.506,284.672,0.504845
54,53,2017-08-07,291.511,286.127,0.00494766
53.5,55.25,2017-08-11,289.544,283.142,0
55.25,53.75,2017-08-09,289.661,283.103,2.21406
54.5,54.5,2017-08-13,287.603,280.659,2.53082
54.75,50,2017-08-10,288.645,283.847,0.0428963
55,51,2017-08-08,289.985,288.392,0
55.25,47.5,2017-08-07,292.141,287.931,0.128685
54.5,52.25,2017-08-08,289.45,285.321,0
54.75,52.25,2017-08-09,289.519,283.784,2.85749
55,49,2017-08-07,293.223,288.669,0.00824738
55.5,49.5,2017-08-12,290.78,285.104,0.673126
55.5,47,2017-08-13,289.135,284.985,0.455349
55.5,51.25,2017-08-09,290.213,284.785,1.24396
55.5,50.5,2017-08-07,292.385,287.915,0.00824738
55.5,48,2017-08-12,290.631,284.841,0.0197983
56.75,53.75,2017-08-08,289.785,285.1,0.00659943
55.5,55.75,2017-08-10,284.065,279.348,0.0940399
55.5,53.25,2017-08-13,288.875,281.474,1.74551
56.5,55,2017-08-12,288.671,285.441,1.3182
57,55.25,2017-08-07,289.765,286.014,0.81171
57,55.5,2017-08-12,288.305,285.416,0.862854
53.25,52,2017-08-08,293.583,288.959,0
53.25,47.25,2017-08-08,290.573,285.802,0
53.25,49.75,2017-08-12,292.683,286.141,0.00164795
53.5,51,2017-08-08,292.195,287.022,0
53.25,54.25,2017-08-11,290.8,282.441,0
55,49.75,2017-08-10,290.202,285.495,0.0560951
53.5,49,2017-08-07,296.545,292.629,0
54.25,54.5,2017-08-10,285.541,278.187,0.0181465
54.5,53.75,2017-08-10,285.716,279.81,0.0626945
54.5,54,2017-08-07,291.521,285.607,0.0115471
55.25,50,2017-08-08,292.798,287.498,0
55,55.25,2017-08-11,290.009,283.531,0
56.75,50,2017-08-09,288.417,285.242,0.0313454
56.25,47.75,2017-08-13,289.033,284.392,0.744068
56.75,52.25,2017-08-10,287.592,283.8,0.0148468
53.5,47.5,2017-08-08,290.307,286.754,0
57,49,2017-08-11,290.422,287.391,0.613731
53,49,2017-08-11,292.755,285.152,0.00164795
53.75,52,2017-08-07,291.544,286.25,0.00659943
53.5,48.25,2017-08-12,291.398,284.233,0.221077
53.75,47.25,2017-08-07,291.013,285.148,0
54.5,50.5,2017-08-07,291.403,286.125,0.00659943
54.25,48.5,2017-08-08,291.752,289.706,0
54.5,48,2017-08-12,291.168,284.466,0.399258
54.5,47,2017-08-13,288.94,284.846,1.8478
54.5,49.5,2017-08-12,290.65,285.64,0.0247459
54.5,51.25,2017-08-09,290.366,284.164,1.14663
54.5,55.75,2017-08-10,285.622,278.264,0.00329971
54.5,53.25,2017-08-13,287.861,282.304,0.988239
54.75,51.25,2017-08-08,290.728,288.095,0
54.75,49,2017-08-10,290.956,285.231,0.207878
55.5,52.25,2017-08-08,289.657,288.385,0.0511436
55,50,2017-08-07,291.99,286.97,0
55.75,48,2017-08-09,289.618,285.476,0.168282
55.5,54.5,2017-08-13,288.32,280.243,2.93173
56.25,52.5,2017-08-12,289.995,284.14,2.13652
55.75,49.5,2017-08-09,289.622,285.232,0.135284
55.75,51.25,2017-08-12,290.03,284.822,0.823257
56.5,50.75,2017-08-12,289.129,284.796,1.18787
53.25,54.5,2017-08-13,289.07,282.7,8.12041
53.25,52.25,2017-08-08,293.8,288.631,0
56.75,48.5,2017-08-13,287.42,282.136,0.44215
53.5,53.75,2017-08-12,290.338,284.494,0.0758934
53.75,49.75,2017-08-09,291.629,284.044,0.0527954
54.75,49.5,2017-08-07,291.841,287.722,0.00164795
54.25,48.75,2017-08-09,292.269,285.518,0.838108
54.75,48,2017-08-07,292.35,286.318,0
54.75,50.5,2017-08-12,291.011,285.031,0
55.75,50.5,2017-08-08,290.029,285.083,0
55.25,48.75,2017-08-13,289.407,284.053,0.318417
56,47,2017-08-07,291.131,289.114,0.128685
56,50.5,2017-08-13,287.913,282.22,0.53949
56.25,52.75,2017-08-11,290.77,284.388,0
56,53.25,2017-08-07,291.551,287.376,0.826557
56.5,47,2017-08-11,291.688,288.547,0.164982
56.75,52,2017-08-10,287.601,283.998,0.0197983
56.5,53.25,2017-08-11,290.738,284.386,0.00494766
56.75,47.25,2017-08-10,287.807,284.929,1.19117
57,47.75,2017-08-08,288.839,285.438,0.0412445
56.75,56,2017-08-11,287.667,286.07,0
53.5,48,2017-08-10,289.708,280.664,0.0329971
53,47.75,2017-08-08,290.904,284.974,0
53.5,49.5,2017-08-10,288.841,284.81,0.0115471
53.5,51.75,2017-08-08,292.359,288.104,0
54,48.5,2017-08-07,292.044,287.085,0
53.75,52.25,2017-08-07,291.316,286.25,0.00659943
53.5,55.75,2017-08-12,288.744,286.969,0.0346451
54,48.75,2017-08-12,292.548,286.696,0.247471
55.5,52,2017-08-08,289.842,288.194,0.0247459
54.5,48.25,2017-08-10,290.433,284.038,0.0956879
54.75,54,2017-08-12,289.84,285.143,1.44524
55.5,47.25,2017-08-08,291.278,286.004,0.00989914
55.5,49.75,2017-08-12,290.717,285.046,0.575787
55.5,54.25,2017-08-11,290.894,283.805,0
55.75,54,2017-08-08,290.05,287.97,0.0197983
53.25,48,2017-08-12,292.453,283.741,0.866154
56,54,2017-08-13,288.184,281.008,1.11858
56.25,54.75,2017-08-07,289.936,287.204,0.778713
53.25,47,2017-08-13,289.785,282.899,0.443802
53.25,49.5,2017-08-12,292.99,286.372,0.00329971
53.25,55.75,2017-08-10,286.756,277.492,1.15157
53.25,53.25,2017-08-13,290.113,282.24,8.68959
53.25,50.5,2017-08-07,292.79,287.83,0
53.25,51.25,2017-08-09,293.698,283.261,0.125385
54.25,48.25,2017-08-13,291.104,286.089,1.64817
53.75,54,2017-08-08,292.115,287.99,0
54,52.5,2017-08-11,291.552,284.365,0
54.75,49.25,2017-08-13,288.355,285.609,3.2056
55,51.75,2017-08-08,289.816,288.28,0
55,48,2017-08-10,288.365,284.068,0.0329971
55,55.75,2017-08-12,289.146,287.003,0.574135
55,49.5,2017-08-10,290.897,285.7,0.103939
55.25,48.25,2017-08-09,290.205,284.966,3.166
56,49.25,2017-08-12,290.272,284.787,0.683025
55.25,47.75,2017-08-11,291.806,285.39,0.0313454
55.75,52.25,2017-08-07,292.123,286.509,0.235924
56,54.5,2017-08-07,290.278,286.201,0.37286
56.75,47.5,2017-08-12,289.645,285.217,0.320065
56.5,54.5,2017-08-11,289.667,284.53,0
56.75,48.25,2017-08-08,289.062,285.72,0.0313454
57,51.5,2017-08-13,286.183,282.338,0.641781
53.25,53.75,2017-08-10,287.554,277.15,0
57,56,2017-08-09,284.162,279.004,0.884304
53,51.5,2017-08-13,291.506,284.978,2.46813
53,56,2017-08-09,289.387,282.743,3.45307
53.25,54,2017-08-07,291.634,285.488,0
54.5,47.25,2017-08-08,290.125,289.122,0
54.25,53,2017-08-08,289.877,284.977,0
53.75,50.5,2017-08-08,291.226,286.263,0
54.5,52,2017-08-08,289.711,285.998,0
54.5,49.75,2017-08-12,290.846,285.498,0.0280457
55,53.75,2017-08-12,289.594,285.214,1.16972
54.5,54.25,2017-08-11,290.677,283.324,0
54.75,47.25,2017-08-09,289.605,284.868,2.74695
54.75,52,2017-08-09,289.914,283.893,2.60176
55.25,51.75,2017-08-07,291.341,286.072,0.0197983
55.5,48.25,2017-08-10,288.897,284.485,0.315117
56.5,50.25,2017-08-09,288.96,285.148,0.00824738
56.25,50.25,2017-08-10,287.64,284.386,2.62321
55.75,49.75,2017-08-09,289.362,285.073,0.18148
56.75,51,2017-08-12,288.708,284.692,1.07568
53,50,2017-08-12,292.965,286.129,0
56.75,53,2017-08-13,285.688,281.177,0.709423
55.5,49.5,2017-08-11,292.684,285.78,0.156734
53.25,50.75,2017-08-13,292.314,284.956,1.10538
53.5,55.5,2017-08-07,290.854,285.786,0.00164795
53.5,56,2017-08-08,292.652,289.275,0
54,52.75,2017-08-11,291.684,284.11,0
53.5,54.25,2017-08-10,286.666,277.626,0.00659943
53.5,55.25,2017-08-12,289.657,285.543,0.457001
55.5,48,2017-08-11,291.975,285.721,0.0478439
56.5,55,2017-08-11,289.062,284.874,0
56,55,2017-08-07,290.311,286.02,0.437202
57,55.5,2017-08-11,288.145,286.018,0
56.75,47.75,2017-08-07,290.703,286.865,0.44875
53,55.5,2017-08-11,290.016,282.817,0
53.75,51.25,2017-08-11,293.596,282.31,0
54,54.75,2017-08-07,290.299,286.581,0
54.75,54.25,2017-08-07,290.742,285,0.0346451
55,47.75,2017-08-09,290.178,284.864,6.59597
54.75,55.5,2017-08-10,285.376,278.52,0.0214462
55,48.25,2017-08-11,290.782,285.209,0.00494766
55.75,50.25,2017-08-13,288.229,282.627,1.15817
56,53.5,2017-08-07,290.859,287.313,0.668175
56,50.25,2017-08-08,290.349,285.036,0.0131989
56.5,49.75,2017-08-13,287.416,282.236,0.315117
56.25,48.5,2017-08-07,291.511,288.664,0.362961
56.25,48.75,2017-08-12,289.442,284.945,1.01299
56.5,53.5,2017-08-11,290.672,284.37,0.00164795
56.75,51.75,2017-08-11,289.546,285.6,0.552689
57,50,2017-08-12,288.243,284.626,1.86264
53,51.75,2017-08-09,293.786,282.932,0.430603
53.5,47.75,2017-08-09,291.732,283.291,0.402557
53,49,2017-08-12,293.614,286.198,0.00824738
53.25,55,2017-08-13,287.778,283.287,7.74425
53.5,48.25,2017-08-11,292.19,283.744,0.0148468
53.75,50.25,2017-08-13,291.16,284.855,2.27675
54.5,49.5,2017-08-11,291.65,284.839,0.00824738
54.25,51.5,2017-08-07,290.847,287.265,0.0247459
54.5,48,2017-08-11,291.44,283.991,0
56.25,52.5,2017-08-11,290.54,284.34,0
55.25,55.5,2017-08-08,290.469,287.123,0.226025
55.75,51.25,2017-08-11,290.654,283.06,0.0841408
55.25,56,2017-08-07,289.152,287.14,1.36935
56,50.75,2017-08-07,290.096,287.265,0.115486
53,48.25,2017-08-07,294.703,287.633,0.0527954
56.5,50.75,2017-08-11,290.136,285.8,0.963493
56.75,55.5,2017-08-09,285.341,278.571,0.762215
57,48.25,2017-08-07,290.338,286.398,0.453701
53.25,49.75,2017-08-11,292.982,284.621,0
57,51.75,2017-08-09,288.068,281.777,0.0346451
55,54.25,2017-08-10,284.687,278.926,0.0346451
53.25,53.5,2017-08-13,290.13,282.099,9.56565
53.25,54.25,2017-08-12,290.418,285.462,0.0643425
53.25,55.25,2017-08-10,286.728,276.617,0.125385
54,50.25,2017-08-10,289.256,282.675,0.00659943
55,55.25,2017-08-12,289.887,286.081,1.01464
55,55.5,2017-08-07,290.165,285.44,0.128685
55,56,2017-08-08,290.38,288.011,0.27882
57,49,2017-08-12,288.502,284.781,3.07691
53.5,55.75,2017-08-11,289.296,283.337,0
53,47.5,2017-08-09,292.526,282.212,0.577435
53,53.75,2017-08-07,291.983,285.637,0
53,54,2017-08-10,288.131,276.505,0.00329971
55.5,53.5,2017-08-13,288.742,281.259,1.58712
54,51.5,2017-08-08,290.805,285.785,0
54.75,54,2017-08-11,291.173,283.682,0
55.5,49.75,2017-08-11,293.145,285.616,0.178181
54,48.75,2017-08-11,293.179,286.045,0.0181465
54.25,55,2017-08-10,286.432,277.241,0.00329971
55.5,54.25,2017-08-12,289.439,285.869,2.68261
55.75,47.75,2017-08-10,287.629,284.61,0.046196
55.5,55.25,2017-08-10,284.944,280.436,0.0973396
53,50.5,2017-08-10,290.735,281.284,0
57,50.5,2017-08-10,287.526,284.874,0.555988
57,51,2017-08-09,288.638,282.25,0.0263977
