latitude,longitude,taken_date,t2m,d2m,tp
54.5,49.25,2017-08-09,291.279,284.96,1.90719
55,51.75,2017-08-13,287.362,281.987,0.659927
55.5,53,2017-08-10,290.231,282.325,0.117138
55.75,54.5,2017-08-07,290.745,287.096,0.813362
56,52.25,2017-08-07,292.326,286.058,0.478447
57,51.5,2017-08-08,289.447,286.481,0.138584
56.75,48.25,2017-08-13,287.535,282.791,0.25737
57,48.75,2017-08-11,290.354,287.467,0.504845
56.5,52.25,2017-08-11,290.099,284.747,0.0940399
53,48.75,2017-08-11,293.121,285.532,0.0115471
53,51.5,2017-08-08,294.6,288.873,0
53.75,50.5,2017-08-13,291.215,284.967,2.29325
53.75,47,2017-08-07,290.96,284.931,0
53.75,53.25,2017-08-07,291.17,286.048,0
54.75,48.75,2017-08-10,290.872,283.944,0.277168
54,53.75,2017-08-07,290.643,285.944,0
54,54,2017-08-10,285.119,278.347,0.0164986
54.25,51,2017-08-12,290.476,284.887,0.392658
54.5,47.25,2017-08-13,289.68,284.466,2.40543
54,47.5,2017-08-09,290.609,284.07,2.59681
54.25,53,2017-08-13,287.78,282.335,1.74056
54.5,52,2017-08-13,286.735,282.433,0.862854
54.25,47.25,2017-08-10,287.931,283.83,0.0263977
56,49.75,2017-08-09,288.926,285.464,0.229324
56.25,55.25,2017-08-07,289.307,286.844,0.635181
56.25,55.5,2017-08-12,288.386,285.884,0.730869
55.25,53,2017-08-09,289.926,282.727,2.54237
56.75,53,2017-08-08,289.456,285.076,0.00659943
53,52.5,2017-08-12,291.901,286.106,0
53.25,52.25,2017-08-13,289.195,284.106,2.68425
53.25,54.5,2017-08-08,293.203,287.035,0
54.25,56,2017-08-11,289.004,283.649,0
54.25,52,2017-08-10,287.934,282.377,0.00989914
55.25,48.75,2017-08-08,290.532,285.729,0
54.5,53,2017-08-10,288.307,281.666,0.0478439
55.25,51.5,2017-08-11,290.835,283.292,0.0131989
55.75,47,2017-08-07,291.757,288.765,0.265621
55.5,49.25,2017-08-09,290.442,285.826,0.503193
55.75,50.5,2017-08-13,288.048,282.516,1.00474
55.75,53.25,2017-08-07,291.647,287.497,0.694572
55.25,49.25,2017-08-10,291.506,286.731,0.338211
57,47.75,2017-08-13,288.077,283.849,0.151783
53,47.75,2017-08-13,290.378,283.05,0.440502
53.5,51.75,2017-08-13,289.416,284.544,4.83562
55,48.5,2017-08-12,290.581,284.772,0.572487
55,48.75,2017-08-07,292.523,286.993,0.00494766
56,50.5,2017-08-08,290.359,284.929,0.0263977
56.25,49,2017-08-11,289.851,287.255,0.280468
56.75,48.75,2017-08-09,288.223,285.211,0.138584
53.25,48.5,2017-08-10,289.041,282.948,0
53.75,49.25,2017-08-12,293.413,286.709,0.0560951
53.75,54.5,2017-08-07,290.721,286.505,0
53.5,52.75,2017-08-07,291.614,286.096,0
55.5,47.25,2017-08-13,289.366,284.424,0.394306
55.5,52,2017-08-13,287.279,281.963,1.03939
55.75,54,2017-08-13,288.662,281.113,3.1792
56,54,2017-08-08,290.061,287.477,0.108887
53,54.75,2017-08-07,290.63,285.829,0
53.25,47.25,2017-08-13,289.936,283.065,0.522991
53.25,52,2017-08-13,289.273,284.571,1.71581
57,52.5,2017-08-12,288.348,284.311,0.973392
53.5,51,2017-08-13,291.313,284.722,1.06083
53.5,53,2017-08-12,290.673,284.875,0.0181465
54.25,50,2017-08-09,291.468,284.165,0.151783
54,55.5,2017-08-11,290.271,282.822,0
54,50,2017-08-12,291.508,285.373,0.168282
54.25,52.25,2017-08-10,287.889,282.122,0.0148468
57,52.75,2017-08-11,290.407,284.665,0.0214462
53.5,47.5,2017-08-13,289.237,283.689,0.892551
53.5,54.75,2017-08-11,289.71,282.967,0
55.25,50,2017-08-13,290.611,284.876,0.559288
55.5,48.5,2017-08-10,288.874,284.693,0.229324
56.25,47.75,2017-08-08,290.301,286.293,0.0527954
56.75,54.5,2017-08-10,285.483,280.168,0.164982
53,52.75,2017-08-11,291.884,283.212,0
53.25,49.25,2017-08-09,293.014,285.246,0.069294
54.25,48.5,2017-08-13,291.326,286.519,2.59187
54.5,53.25,2017-08-08,289.952,284.99,0
54.5,47,2017-08-08,290.195,289.173,0
54.75,52.75,2017-08-10,288.932,282.1,0.0610428
54.75,47,2017-08-09,289.662,285.034,2.85749
54.75,51.25,2017-08-13,287.934,282.517,0.595585
54.75,53.25,2017-08-09,289.299,282.723,1.50298
55.5,52.25,2017-08-13,287.299,281.787,1.13507
55.25,48.5,2017-08-09,290.138,285.005,2.77005
55.5,54.5,2017-08-08,289.497,286.467,0.0494957
56,49.5,2017-08-09,289.094,285.448,0.156734
56,48,2017-08-09,289.437,285.856,0.0923882
53,50.25,2017-08-10,290.439,281.822,0
57,54.75,2017-08-07,290.376,287.386,0.696224
56,51.25,2017-08-12,289.846,284.718,1.72571
56.75,48.5,2017-08-08,288.961,285.664,0.0329971
54.25,49,2017-08-09,291.994,284.694,1.14003
54,48.25,2017-08-07,291.393,285.987,0
54.25,51.75,2017-08-12,290.084,284.731,0.478447
54.5,48.5,2017-08-10,292.617,286.211,0.069294
54.25,55.75,2017-08-08,291.714,289.352,0
54.75,50.25,2017-08-11,291.439,283.845,0
56.75,52.75,2017-08-09,288.136,280.798,0.0263977
55.25,49,2017-08-13,290.476,284.944,0.443802
56,47.25,2017-08-07,290.961,289.591,0.194679
56,52,2017-08-07,291.995,285.937,0.245823
56.25,51.5,2017-08-13,286.693,281.332,0.65498
56.5,52,2017-08-11,289.703,285.232,0.18148
56.5,56,2017-08-10,284.246,278.389,0.298618
56.75,47,2017-08-10,288.162,284.863,1.38255
56.75,53.25,2017-08-10,287.815,282.571,0.00659943
56.75,55.75,2017-08-13,286.421,280.648,4.64589
55,47.5,2017-08-13,288.468,284.648,0.509792
55,54.75,2017-08-11,290.867,283.135,0
55.25,52.75,2017-08-08,289.35,287.174,0.0346451
56.25,56,2017-08-09,285.811,279.204,1.49638
56.5,47.25,2017-08-11,291.687,288.338,0.202927
56.5,54.25,2017-08-08,289.766,285.456,0.046196
53.25,53,2017-08-10,287.782,279.137,0
54,49,2017-08-12,293.014,288.062,0.379459
54,51.75,2017-08-09,290.774,283.673,0.965145
54.5,54.5,2017-08-08,290.613,287.448,0
54.25,53.75,2017-08-08,290.208,287.095,0
54.5,52.25,2017-08-13,286.603,282.314,1.10703
54.75,54.5,2017-08-09,289.365,282.361,1.19447
55,52.75,2017-08-07,291.606,285.587,0.0181465
55,51,2017-08-13,287.875,282.328,0.296967
55,53,2017-08-12,290.085,285,1.31985
56.75,53.75,2017-08-13,286.073,281.656,2.36584
55.5,47,2017-08-08,291.193,286.205,0.0329971
55.5,53.25,2017-08-08,289.239,287.506,0.196327
53.5,52.25,2017-08-13,289.193,283.791,3.42007
53,53.5,2017-08-09,292.318,282.965,1.10208
53.5,54.5,2017-08-08,292.516,287.325,0
57,50.25,2017-08-10,287.05,284.617,0.468548
55.25,53.25,2017-08-07,290.503,285.884,0.0577431
55.25,47,2017-08-07,293.1,288.054,0.110538
53.75,53,2017-08-09,291.737,283.375,0.430603
54,54,2017-08-12,289.32,284.415,0.552689
54.25,50.5,2017-08-09,291.067,283.875,0.108887
54.25,51,2017-08-10,288.886,282.716,0.0197983
54.25,51.25,2017-08-07,291.216,287.359,0.0280457
54.75,48.5,2017-08-07,293.571,286.31,0
54.75,48.75,2017-08-12,292.021,285.379,0.18148
55.25,50.5,2017-08-13,288.896,282.889,0.577435
55.5,54.75,2017-08-11,290.198,283.854,0
55.5,47.5,2017-08-13,289.481,284.281,0.308517
55.75,51.5,2017-08-11,290.699,283.427,0.0395966
55.75,48.75,2017-08-08,291.506,287.009,0.00164795
56.75,50.75,2017-08-11,289.339,286.678,1.16642
56,48.75,2017-08-13,288.596,282.69,0.663227
56.25,54.25,2017-08-07,290.11,286.694,0.65168
56.25,55.5,2017-08-10,284.658,278.454,0.128685
56.5,55.5,2017-08-09,286.005,278.398,1.62507
57,55,2017-08-09,286.409,279.619,0.336563
53,55,2017-08-09,290.442,281.746,4.17239
53.5,48.5,2017-08-10,288.913,282.258,0.00329971
53.25,51.75,2017-08-13,289.88,284.877,0.981644
54,48,2017-08-07,291.855,285.337,0
54,49.5,2017-08-07,293.533,286.627,0.00164795
54,50.5,2017-08-12,291.212,285.181,0.321716
54.25,47.5,2017-08-10,287.968,283.5,0.023098
54.25,54,2017-08-09,288.458,282.832,2.12992
55,47,2017-08-08,290.393,286.013,0.0478439
55.5,51,2017-08-13,288.441,282.903,0.971745
55,53.25,2017-08-08,289.826,285.594,0.0115471
55.25,54,2017-08-13,288.084,280.572,3.31944
54,52,2017-08-09,290.461,283.751,0.866154
53.75,49.25,2017-08-10,289.966,285.91,0.0263977
55.5,52.75,2017-08-07,290.19,285.916,0.0560951
55.5,53,2017-08-12,290.536,285.233,0.341511
55.75,49.25,2017-08-10,288.291,284.572,0.471848
57,53.5,2017-08-09,286.507,279.541,0.0131989
53.25,48.5,2017-08-12,292.753,284.927,0.419052
53.25,48.75,2017-08-07,294.033,289.195,0.0296974
53.5,47,2017-08-08,290.025,287.172,0
53.5,53.25,2017-08-08,293.278,287.926,0
54,47.25,2017-08-09,290.414,284.078,2.94163
55.25,49.25,2017-08-12,292.052,286.888,0.43885
54.5,47.5,2017-08-13,290.427,283.962,1.8478
54.5,54.75,2017-08-11,290.844,283.107,0
55,48.5,2017-08-10,288.614,283.776,0.0775414
55.25,54.5,2017-08-07,289.91,285.382,0.268921
56,47.75,2017-08-11,292.912,286.389,0.0494957
56,48.25,2017-08-09,289.539,285.552,0.0775414
56.75,55,2017-08-11,288.436,284.923,0
56.5,47.75,2017-08-07,290.377,288.331,0.584034
57,52.5,2017-08-10,287.466,283.944,0.103939
57,50.75,2017-08-09,288.717,282.699,0.0346451
54.25,47.25,2017-08-12,290.174,284.722,0.65168
53,50.75,2017-08-09,293.825,283.013,0.221077
53,52.5,2017-08-10,288.722,279.318,0
53.75,51.5,2017-08-11,293.377,282.601,0
53.75,48.75,2017-08-08,290.632,287.339,0
54,49.25,2017-08-13,291.066,286.167,1.95174
